地区名称,预报时间,温度,相对湿度,风向,风力级数,降水量,更新时间
贵州>贵阳>白云,2021/1/1 11:00,0,71,西北风,1,0,20210101 110000
贵州>贵阳>乌当,2021/1/1 11:00,2,65,西北风,1,0,20210101 110000
贵州>贵阳>花溪,2021/1/1 11:00,2,68,西风,1,0,20210101 110000
贵州>贵阳>清镇,2021/1/1 11:00,0,71,西北风,1,0,20210101 110000
贵州>贵阳>乌当,2021/1/1 12:00,4,61,西北风,1,0,20210101 120000
贵州>贵阳>修文,2021/1/1 12:00,3,62,西北风,1,0,20210101 120000
贵州>贵阳>开阳,2021/1/1 12:00,2,61,西北风,2,0,20210101 120000
贵州>贵阳>花溪,2021/1/1 12:00,3,61,北风,2,0,20210101 120000
贵州>贵阳>白云,2021/1/1 12:00,2,66,西北风,1,0,20210101 120000
贵州>贵阳>清镇,2021/1/1 12:00,2,66,西北风,1,0,20210101 120000
贵州>贵阳>息烽,2021/1/1 12:00,4,54,东北风,1,0,20210101 120000
贵州>贵阳>修文,2021/1/1 13:00,4,62,西风,1,0,20210101 130000
贵州>贵阳>开阳,2021/1/1 13:00,4,54,北风,2,0,20210101 130000
贵州>贵阳>花溪,2021/1/1 13:00,5,57,西风,1,0,20210101 130000
贵州>贵阳>清镇,2021/1/1 13:00,3,64,西北风,1,0,20210101 130000
贵州>贵阳>白云,2021/1/1 13:00,3,64,西北风,1,0,20210101 130000
贵州>贵阳>乌当,2021/1/1 13:00,5,56,东南风,1,0,20210101 130000
贵州>贵阳>息烽,2021/1/1 13:00,5,55,北风,2,0,20210101 130000
贵州>贵阳>开阳,2021/1/1 14:00,4,56,西北风,2,0,20210101 140000
贵州>贵阳>白云,2021/1/1 14:00,4,61,北风,1,0,20210101 140000
贵州>贵阳>花溪,2021/1/1 14:00,6,52,西北风,1,0,20210101 140000
贵州>贵阳>乌当,2021/1/1 14:00,5,54,东南风,2,0,20210101 140000
贵州>贵阳>清镇,2021/1/1 14:00,4,61,北风,1,0,20210101 140000
贵州>贵阳>息烽,2021/1/1 14:00,5,53,西风,1,0,20210101 140000
贵州>贵阳>修文,2021/1/1 14:00,5,59,西风,1,0,20210101 140000
贵州>贵阳>清镇,2021/1/1 15:00,4,57,东南风,1,0,20210101 150000
贵州>贵阳>白云,2021/1/1 15:00,4,57,东南风,1,0,20210101 150000
贵州>贵阳>乌当,2021/1/1 15:00,6,52,东风,2,0,20210101 150000
贵州>贵阳>修文,2021/1/1 15:00,5,56,西北风,1,0,20210101 150000
贵州>贵阳>开阳,2021/1/1 15:00,5,55,北风,2,0,20210101 150000
贵州>贵阳>息烽,2021/1/1 15:00,7,49,南风,2,0,20210101 150000
贵州>贵阳>花溪,2021/1/1 15:00,7,48,北风,1,0,20210101 150000
贵州>贵阳>花溪,2021/1/1 16:00,7,49,东北风,2,0,20210101 160000
贵州>贵阳>清镇,2021/1/1 16:00,5,57,东风,1,0,20210101 160000
贵州>贵阳>白云,2021/1/1 16:00,5,57,东风,1,0,20210101 160000
贵州>贵阳>息烽,2021/1/1 16:00,8,51,西南风,2,0,20210101 160000
贵州>贵阳>修文,2021/1/1 16:00,5,55,南风,2,0,20210101 160000
贵州>贵阳>开阳,2021/1/1 16:00,6,52,东北风,2,0,20210101 160000
贵州>贵阳>乌当,2021/1/1 16:00,6,52,南风,2,0,20210101 160000
贵州>贵阳>乌当,2021/1/1 17:00,7,53,东风,1,0,20210101 170000
贵州>贵阳>息烽,2021/1/1 17:00,7,51,西风,1,0,20210101 170000
贵州>贵阳>修文,2021/1/1 17:00,6,54,西北风,1,0,20210101 170000
贵州>贵阳>开阳,2021/1/1 17:00,5,53,东北风,2,0,20210101 170000
贵州>贵阳>花溪,2021/1/1 17:00,7,51,东南风,1,0,20210101 170000
贵州>贵阳>清镇,2021/1/1 17:00,5,58,东北风,1,0,20210101 170000
贵州>贵阳>白云,2021/1/1 17:00,5,58,东北风,1,0,20210101 170000
贵州>贵阳>花溪,2021/1/1 18:00,6,54,北风,1,0,20210101 180000
贵州>贵阳>修文,2021/1/1 18:00,4,59,南风,1,0,20210101 180000
贵州>贵阳>白云,2021/1/1 18:00,4,63,东风,2,0,20210101 180000
贵州>贵阳>乌当,2021/1/1 18:00,6,54,东北风,1,0,20210101 180000
贵州>贵阳>清镇,2021/1/1 18:00,4,63,东风,2,0,20210101 180000
贵州>贵阳>息烽,2021/1/1 18:00,6,56,北风,2,0,20210101 180000
贵州>贵阳>开阳,2021/1/1 18:00,4,56,东北风,2,0,20210101 180000
贵州>贵阳>修文,2021/1/1 19:00,4,63,东风,1,0,20210101 190000
贵州>贵阳>开阳,2021/1/1 19:00,3,64,东风,1,0,20210101 190000
贵州>贵阳>花溪,2021/1/1 19:00,6,56,东北风,2,0,20210101 190000
贵州>贵阳>清镇,2021/1/1 19:00,3,68,东风,1,0,20210101 190000
贵州>贵阳>白云,2021/1/1 19:00,3,68,东风,1,0,20210101 190000
贵州>贵阳>乌当,2021/1/1 19:00,5,63,西南风,1,0,20210101 190000
贵州>贵阳>息烽,2021/1/1 19:00,4,63,东风,2,0,20210101 190000
贵州>贵阳>乌当,2021/1/1 20:00,5,68,西风,1,0,20210101 200000
贵州>贵阳>清镇,2021/1/1 20:00,3,69,东南风,1,0,20210101 200000
贵州>贵阳>修文,2021/1/1 20:00,4,65,北风,1,0,20210101 200000
贵州>贵阳>开阳,2021/1/1 20:00,2,67,东北风,1,0,20210101 200000
贵州>贵阳>花溪,2021/1/1 20:00,6,58,北风,1,0,20210101 200000
贵州>贵阳>息烽,2021/1/1 20:00,4,63,南风,1,0,20210101 200000
贵州>贵阳>白云,2021/1/1 20:00,3,69,东南风,1,0,20210101 200000
贵州>贵阳>清镇,2021/1/1 21:00,3,69,东北风,1,0,20210101 210000
贵州>贵阳>乌当,2021/1/1 21:00,5,68,东风,1,0,20210101 210000
贵州>贵阳>白云,2021/1/1 21:00,3,69,东北风,1,0,20210101 210000
贵州>贵阳>息烽,2021/1/1 21:00,5,61,东风,1,0,20210101 210000
贵州>贵阳>修文,2021/1/1 21:00,4,68,东风,2,0,20210101 210000
贵州>贵阳>开阳,2021/1/1 21:00,3,66,南风,1,0,20210101 210000
贵州>贵阳>花溪,2021/1/1 21:00,6,57,北风,2,0,20210101 210000
贵州>贵阳>息烽,2021/1/1 22:00,4,70,西风,1,0,20210101 220000
贵州>贵阳>修文,2021/1/1 22:00,4,63,东风,2,0,20210101 220000
贵州>贵阳>开阳,2021/1/1 22:00,3,58,东北风,1,0,20210101 220000
贵州>贵阳>白云,2021/1/1 22:00,3,70,东风,1,0,20210101 220000
贵州>贵阳>乌当,2021/1/1 22:00,5,66,东风,1,0,20210101 220000
贵州>贵阳>花溪,2021/1/1 22:00,5,59,北风,1,0,20210101 220000
贵州>贵阳>清镇,2021/1/1 22:00,3,70,东风,1,0,20210101 220000
贵州>贵阳>白云,2021/1/1 23:00,3,69,东北风,1,0,20210101 230000
贵州>贵阳>息烽,2021/1/1 23:00,4,62,东南风,1,0,20210101 230000
贵州>贵阳>修文,2021/1/1 23:00,3,61,东风,2,0,20210101 230000
贵州>贵阳>开阳,2021/1/1 23:00,2,58,东北风,1,0,20210101 230000
贵州>贵阳>花溪,2021/1/1 23:00,5,60,北风,0,0,20210101 230000
贵州>贵阳>清镇,2021/1/1 23:00,3,69,东北风,1,0,20210101 230000
贵州>贵阳>乌当,2021/1/1 23:00,4,67,东风,1,0,20210101 230000
贵州>贵阳>花溪,2021/1/2 0:00,5,61,北风,1,0,20210102 000000
贵州>贵阳>开阳,2021/1/2 0:00,2,63,东南风,1,0,20210102 000000
贵州>贵阳>乌当,2021/1/2 0:00,4,63,东风,1,0,20210102 000000
贵州>贵阳>白云,2021/1/2 0:00,3,67,东北风,1,0,20210102 000000
贵州>贵阳>清镇,2021/1/2 0:00,3,67,东北风,1,0,20210102 000000
贵州>贵阳>修文,2021/1/2 0:00,3,61,东北风,2,0,20210102 000000
贵州>贵阳>息烽,2021/1/2 0:00,4,55,东风,2,0,20210102 000000
贵州>贵阳>息烽,2021/1/2 1:00,4,67,北风,1,0,20210102 010000
贵州>贵阳>修文,2021/1/2 1:00,3,61,东风,2,0,20210102 010000
贵州>贵阳>开阳,2021/1/2 1:00,2,67,东南风,1,0,20210102 010000
贵州>贵阳>花溪,2021/1/2 1:00,5,63,北风,0,0,20210102 010000
贵州>贵阳>白云,2021/1/2 1:00,3,68,东北风,1,0,20210102 010000
贵州>贵阳>清镇,2021/1/2 1:00,3,68,东北风,1,0,20210102 010000
贵州>贵阳>乌当,2021/1/2 1:00,4,60,东北风,2,0,20210102 010000
贵州>贵阳>修文,2021/1/2 2:00,3,61,东风,1,0,20210102 020000
贵州>贵阳>开阳,2021/1/2 2:00,1,69,东南风,2,0,20210102 020000
贵州>贵阳>清镇,2021/1/2 2:00,3,64,东风,1,0,20210102 020000
贵州>贵阳>白云,2021/1/2 2:00,3,64,东风,1,0,20210102 020000
贵州>贵阳>花溪,2021/1/2 2:00,5,64,北风,0,0,20210102 020000
贵州>贵阳>息烽,2021/1/2 2:00,3,74,西风,1,0,20210102 020000
贵州>贵阳>乌当,2021/1/2 2:00,4,59,东北风,1,0,20210102 030000
贵州>贵阳>开阳,2021/1/2 3:00,2,70,东南风,1,0,20210102 030000
贵州>贵阳>息烽,2021/1/2 3:00,3,72,北风,1,0,20210102 030000
贵州>贵阳>白云,2021/1/2 3:00,3,63,东风,1,0,20210102 030000
贵州>贵阳>清镇,2021/1/2 3:00,3,63,东风,1,0,20210102 030000
贵州>贵阳>修文,2021/1/2 3:00,3,62,东北风,1,0,20210102 030000
贵州>贵阳>花溪,2021/1/2 3:00,5,65,北风,0,0,20210102 030000
贵州>贵阳>乌当,2021/1/2 3:00,4,58,东风,1,0,20210102 030000
贵州>贵阳>息烽,2021/1/2 4:00,3,73,北风,0,0,20210102 040000
贵州>贵阳>修文,2021/1/2 4:00,3,63,南风,1,0,20210102 040000
贵州>贵阳>开阳,2021/1/2 4:00,2,69,东南风,2,0,20210102 040000
贵州>贵阳>花溪,2021/1/2 4:00,5,65,东南风,1,0,20210102 040000
贵州>贵阳>清镇,2021/1/2 4:00,3,66,东南风,1,0,20210102 040000
贵州>贵阳>白云,2021/1/2 4:00,3,66,东南风,1,0,20210102 040000
贵州>贵阳>乌当,2021/1/2 4:00,4,60,南风,1,0,20210102 040000
贵州>贵阳>息烽,2021/1/2 5:00,3,75,西北风,1,0,20210102 050000
贵州>贵阳>修文,2021/1/2 5:00,3,67,西南风,1,0,20210102 050000
贵州>贵阳>开阳,2021/1/2 5:00,2,71,东南风,1,0,20210102 050000
贵州>贵阳>花溪,2021/1/2 5:00,5,64,北风,0,0,20210102 050000
贵州>贵阳>白云,2021/1/2 5:00,3,70,东南风,1,0,20210102 050000
贵州>贵阳>清镇,2021/1/2 5:00,3,70,东南风,1,0,20210102 050000
贵州>贵阳>乌当,2021/1/2 5:00,4,63,北风,1,0,20210102 050000
贵州>贵阳>开阳,2021/1/2 6:00,2,68,南风,2,0,20210102 060000
贵州>贵阳>白云,2021/1/2 6:00,3,71,东南风,1,0,20210102 060000
贵州>贵阳>花溪,2021/1/2 6:00,5,67,南风,1,0,20210102 060000
贵州>贵阳>乌当,2021/1/2 6:00,4,65,东风,1,0,20210102 060000
贵州>贵阳>清镇,2021/1/2 6:00,3,71,东南风,1,0,20210102 060000
贵州>贵阳>息烽,2021/1/2 6:00,3,75,西北风,1,0,20210102 060000
贵州>贵阳>修文,2021/1/2 6:00,3,70,南风,1,0,20210102 060000
贵州>贵阳>乌当,2021/1/2 7:00,4,67,东风,1,0,20210102 070000
贵州>贵阳>息烽,2021/1/2 7:00,2,77,北风,1,0,20210102 070000
贵州>贵阳>开阳,2021/1/2 7:00,2,73,东南风,1,0,20210102 070000
贵州>贵阳>花溪,2021/1/2 7:00,5,67,东南风,1,0,20210102 070000
贵州>贵阳>修文,2021/1/2 7:00,3,72,东风,1,0,20210102 070000
贵州>贵阳>白云,2021/1/2 7:00,3,73,东南风,1,0,20210102 070000
贵州>贵阳>清镇,2021/1/2 7:00,3,73,东南风,1,0,20210102 070000
贵州>贵阳>乌当,2021/1/2 8:00,4,65,东北风,1,0,20210102 080000
贵州>贵阳>修文,2021/1/2 8:00,3,70,东南风,1,0,20210102 080000
贵州>贵阳>息烽,2021/1/2 8:00,2,81,北风,1,0,20210102 080000
贵州>贵阳>开阳,2021/1/2 8:00,2,73,东南风,2,0,20210102 080000
贵州>贵阳>花溪,2021/1/2 8:00,5,60,南风,2,0,20210102 080000
贵州>贵阳>清镇,2021/1/2 8:00,3,71,东南风,1,0,20210102 080000
贵州>贵阳>白云,2021/1/2 8:00,3,71,东南风,1,0,20210102 080000
贵州>贵阳>开阳,2021/1/2 9:00,2,72,东南风,1,0,20210102 090000
贵州>贵阳>乌当,2021/1/2 9:00,4,64,东北风,1,0,20210102 090000
贵州>贵阳>修文,2021/1/2 9:00,4,68,东南风,1,0,20210102 090000
贵州>贵阳>白云,2021/1/2 9:00,3,69,东南风,1,0,20210102 090000
贵州>贵阳>花溪,2021/1/2 9:00,5,59,南风,2,0,20210102 090000
贵州>贵阳>息烽,2021/1/2 9:00,3,79,北风,0,0,20210102 090000
贵州>贵阳>清镇,2021/1/2 9:00,3,69,东南风,1,0,20210102 090000
贵州>贵阳>息烽,2021/1/2 10:00,3,77,北风,1,0,20210102 100000
贵州>贵阳>白云,2021/1/2 10:00,4,68,南风,1,0,20210102 100000
贵州>贵阳>清镇,2021/1/2 10:00,4,68,南风,1,0,20210102 100000
贵州>贵阳>花溪,2021/1/2 10:00,5,56,南风,2,0,20210102 100000
贵州>贵阳>乌当,2021/1/2 10:00,5,63,北风,1,0,20210102 100000
贵州>贵阳>开阳,2021/1/2 10:00,3,66,东南风,2,0,20210102 100000
贵州>贵阳>修文,2021/1/2 10:00,4,68,南风,2,0,20210102 100000
贵州>贵阳>花溪,2021/1/2 11:00,6,55,南风,2,0,20210102 110000
贵州>贵阳>清镇,2021/1/2 11:00,4,64,南风,2,0,20210102 110000
贵州>贵阳>白云,2021/1/2 11:00,4,64,南风,2,0,20210102 110000
贵州>贵阳>开阳,2021/1/2 11:00,4,63,东南风,2,0,20210102 110000
贵州>贵阳>修文,2021/1/2 11:00,4,67,南风,3,0,20210102 110000
贵州>贵阳>息烽,2021/1/2 11:00,4,73,北风,1,0,20210102 110000
贵州>贵阳>乌当,2021/1/2 11:00,5,62,东风,1,0,20210102 110000
贵州>贵阳>修文,2021/1/2 12:00,5,64,南风,3,0,20210102 120000
贵州>贵阳>开阳,2021/1/2 12:00,4,64,东南风,3,0,20210102 120000
贵州>贵阳>花溪,2021/1/2 12:00,6,56,东南风,2,0,20210102 120000
贵州>贵阳>清镇,2021/1/2 12:00,5,61,东南风,2,0,20210102 120000
贵州>贵阳>白云,2021/1/2 12:00,5,61,东南风,2,0,20210102 120000
贵州>贵阳>乌当,2021/1/2 12:00,6,60,东风,1,0,20210102 120000
贵州>贵阳>息烽,2021/1/2 12:00,5,69,北风,1,0,20210102 120000
贵州>贵阳>息烽,2021/1/2 13:00,5,68,北风,2,0,20210102 130000
贵州>贵阳>开阳,2021/1/2 13:00,4,65,东风,2,0,20210102 130000
贵州>贵阳>修文,2021/1/2 13:00,5,62,南风,2,0,20210102 130000
贵州>贵阳>清镇,2021/1/2 13:00,5,63,东南风,2,0,20210102 130000
贵州>贵阳>白云,2021/1/2 13:00,5,63,东南风,2,0,20210102 130000
贵州>贵阳>花溪,2021/1/2 13:00,7,61,南风,2,0,20210102 130000
贵州>贵阳>乌当,2021/1/2 13:00,7,59,东北风,1,0,20210102 130000
贵州>贵阳>修文,2021/1/2 14:00,5,63,南风,2,0,20210102 140000
贵州>贵阳>清镇,2021/1/2 14:00,5,67,南风,2,0,20210102 140000
贵州>贵阳>开阳,2021/1/2 14:00,4,65,东北风,2,0,20210102 140000
贵州>贵阳>白云,2021/1/2 14:00,5,67,南风,2,0,20210102 140000
贵州>贵阳>乌当,2021/1/2 14:00,7,57,北风,1,0,20210102 140000
贵州>贵阳>花溪,2021/1/2 14:00,7,62,南风,3,0,20210102 140000
贵州>贵阳>息烽,2021/1/2 14:00,5,67,北风,2,0,20210102 140000
贵州>贵阳>乌当,2021/1/2 15:00,7,60,东南风,1,0,20210102 150000
贵州>贵阳>清镇,2021/1/2 15:00,5,69,南风,1,0,20210102 150000
贵州>贵阳>开阳,2021/1/2 15:00,5,64,东风,2,0,20210102 150000
贵州>贵阳>白云,2021/1/2 15:00,5,69,南风,1,0,20210102 150000
贵州>贵阳>息烽,2021/1/2 15:00,6,66,北风,1,0,20210102 150000
贵州>贵阳>修文,2021/1/2 15:00,5,67,东南风,2,0,20210102 150000
贵州>贵阳>花溪,2021/1/2 15:00,7,61,南风,3,0,20210102 150000
贵州>贵阳>开阳,2021/1/2 16:00,5,64,东风,2,0,20210102 160000
贵州>贵阳>白云,2021/1/2 16:00,6,70,东南风,2,0,20210102 160000
贵州>贵阳>花溪,2021/1/2 16:00,8,62,南风,3,0,20210102 160000
贵州>贵阳>修文,2021/1/2 16:00,5,70,南风,2,0,20210102 160000
贵州>贵阳>乌当,2021/1/2 16:00,7,59,东风,1,0,20210102 160000
贵州>贵阳>息烽,2021/1/2 16:00,6,67,西风,1,0,20210102 160000
贵州>贵阳>清镇,2021/1/2 16:00,6,70,东南风,2,0,20210102 160000
贵州>贵阳>息烽,2021/1/2 17:00,6,66,西风,1,0,20210102 170000
贵州>贵阳>花溪,2021/1/2 17:00,7,64,东南风,2,0,20210102 170000
贵州>贵阳>开阳,2021/1/2 17:00,5,66,东风,2,0,20210102 170000
贵州>贵阳>清镇,2021/1/2 17:00,6,67,东风,2,0,20210102 170000
贵州>贵阳>白云,2021/1/2 17:00,6,67,东风,2,0,20210102 170000
贵州>贵阳>乌当,2021/1/2 17:00,7,59,东风,1,0,20210102 170000
贵州>贵阳>修文,2021/1/2 17:00,5,70,东南风,2,0,20210102 170000
贵州>贵阳>开阳,2021/1/2 18:00,4,71,东北风,2,0,20210102 180000
贵州>贵阳>花溪,2021/1/2 18:00,7,66,南风,2,0,20210102 180000
贵州>贵阳>白云,2021/1/2 18:00,5,68,东风,1,0,20210102 180000
贵州>贵阳>息烽,2021/1/2 18:00,5,68,西北风,2,0,20210102 180000
贵州>贵阳>乌当,2021/1/2 18:00,7,60,东风,2,0,20210102 180000
贵州>贵阳>清镇,2021/1/2 18:00,5,68,东风,1,0,20210102 180000
贵州>贵阳>修文,2021/1/2 18:00,5,70,东风,2,0,20210102 180000
贵州>贵阳>息烽,2021/1/2 19:00,5,69,西北风,2,0,20210102 190000
贵州>贵阳>修文,2021/1/2 19:00,5,71,东风,2,0,20210102 190000
贵州>贵阳>开阳,2021/1/2 19:00,3,73,北风,2,0,20210102 190000
贵州>贵阳>花溪,2021/1/2 19:00,7,67,东南风,2,0,20210102 190000
贵州>贵阳>清镇,2021/1/2 19:00,5,69,东北风,2,0,20210102 190000
贵州>贵阳>白云,2021/1/2 19:00,5,69,东北风,2,0,20210102 190000
贵州>贵阳>乌当,2021/1/2 19:00,7,61,东风,2,0,20210102 190000
贵州>贵阳>花溪,2021/1/2 20:00,7,68,东南风,2,0,20210102 200000
贵州>贵阳>乌当,2021/1/2 20:00,7,63,东北风,1,0,20210102 200000
贵州>贵阳>息烽,2021/1/2 20:00,5,71,西北风,1,0,20210102 200000
贵州>贵阳>开阳,2021/1/2 20:00,3,76,北风,2,0,20210102 200000
贵州>贵阳>清镇,2021/1/2 20:00,5,77,东风,2,0,20210102 200000
贵州>贵阳>修文,2021/1/2 20:00,5,73,东北风,1,0,20210102 200000
贵州>贵阳>白云,2021/1/2 20:00,5,77,东风,2,0,20210102 200000
贵州>贵阳>开阳,2021/1/2 21:00,3,77,北风,2,0,20210102 210000
贵州>贵阳>白云,2021/1/2 21:00,4,87,东北风,1,0,20210102 210000
贵州>贵阳>乌当,2021/1/2 21:00,6,72,东风,2,0,20210102 210000
贵州>贵阳>息烽,2021/1/2 21:00,4,80,西北风,2,0,20210102 210000
贵州>贵阳>花溪,2021/1/2 21:00,6,75,东风,1,0,20210102 210000
贵州>贵阳>修文,2021/1/2 21:00,5,76,东北风,2,0,20210102 210000
贵州>贵阳>清镇,2021/1/2 21:00,4,87,东北风,1,0,20210102 210000
贵州>贵阳>白云,2021/1/2 22:00,3,95,东北风,2,0.1,20210102 220000
贵州>贵阳>花溪,2021/1/2 22:00,5,90,北风,2,0,20210102 220000
贵州>贵阳>息烽,2021/1/2 22:00,3,84,北风,3,0,20210102 220000
贵州>贵阳>修文,2021/1/2 22:00,2,94,东北风,2,0.1,20210102 220000
贵州>贵阳>开阳,2021/1/2 22:00,2,83,北风,2,0,20210102 220000
贵州>贵阳>清镇,2021/1/2 22:00,3,95,东北风,2,0.1,20210102 220000
